,URL,Title,Part,Chapter,Division,Subchapter,Rule,Source Note
1525,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=115&rl=8,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 115: FACILITIES LEASING PROGRAM,,SUBCHAPTER A: STATE LEASED PROPERTY,RULE §115.8: Use of Private Firms to Obtain Space,"Source Note: The provisions of this §115.8 adopted to be effective March 14, 2004, 29 TexReg 2294; amended to be effective August 5, 2008, 33 TexReg 6131"
1526,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=115&rl=10,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 115: FACILITIES LEASING PROGRAM,,SUBCHAPTER A: STATE LEASED PROPERTY,RULE §115.10: Tenant Agency Responsibility; Reporting,"Source Note: The provisions of this §115.10 adopted to be effective March 14, 2004, 29 TexReg 2294; amended to be effective August 5, 2008, 33 TexReg 6131"
1527,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=115&rl=13,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 115: FACILITIES LEASING PROGRAM,,SUBCHAPTER A: STATE LEASED PROPERTY,RULE §115.13: Best Value Guidelines,"Source Note: The provisions of this §115.13 adopted to be effective August 5, 2008, 33 TexReg 6131; amended to be effective October 3, 2016, 41 TexReg 7709"
1528,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=115&rl=20,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 115: FACILITIES LEASING PROGRAM,,SUBCHAPTER B: CANCELLATION OF LEASE DUE TO LACK OF FUNDING,RULE §115.20: Definitions,"Source Note: The provisions of this §115.20 adopted to be effective October 3, 2016, 41 TexReg 7709"
1529,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=115&rl=21,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 115: FACILITIES LEASING PROGRAM,,SUBCHAPTER B: CANCELLATION OF LEASE DUE TO LACK OF FUNDING,RULE §115.21: Determination of Idle Capacity or Idle Facilities,"Source Note: The provisions of this §115.21 adopted to be effective October 3, 2016, 41 TexReg 7709"
1530,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=115&rl=22,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 115: FACILITIES LEASING PROGRAM,,SUBCHAPTER B: CANCELLATION OF LEASE DUE TO LACK OF FUNDING,RULE §115.22: Cancellation of Lease Upon Request by a Governmental Agency Due to Lack of Funding,"Source Note: The provisions of this §115.22 adopted to be effective October 3, 2016, 41 TexReg 7709"
1531,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=116&rl=1,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 116: PROPERTY MANAGEMENT DIVISION,,SUBCHAPTER A: STATE OWNED PROPERTY,RULE §116.1: Definitions,"Source Note: The provisions of this §116.1 adopted to be effective November 21, 1999, 24 TexReg 10040; amended to be effective May 12, 2010, 35 TexReg 3637"
1532,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=116&rl=2,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 116: PROPERTY MANAGEMENT DIVISION,,SUBCHAPTER A: STATE OWNED PROPERTY,RULE §116.2: Occupying Agency Responsibility,"Source Note: The provisions of this §116.2 adopted to be effective November 21, 1999, 24 TexReg 10040; amended to be effective May 12, 2010, 35 TexReg 3637"
1533,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=116&rl=3,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 116: PROPERTY MANAGEMENT DIVISION,,SUBCHAPTER A: STATE OWNED PROPERTY,"RULE §116.3: Maintenance, Repairs, and Modifications","Source Note: The provisions of this §116.3 adopted to be effective November 21, 1999, 24 TexReg 10040; amended to be effective May 12, 2010, 35 TexReg 3637; amended to be effective April 18, 2016, 41 TexReg 2737"
1534,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=116&rl=4,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 116: PROPERTY MANAGEMENT DIVISION,,SUBCHAPTER A: STATE OWNED PROPERTY,RULE §116.4: Procedures Governing Maintenance Service and Minor Construction Contracts,"Source Note: The provisions of this §116.4 adopted to be effective March 14, 2004, 29 TexReg 2619; amended to be effective May 12, 2010, 35 TexReg 3637"
1535,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=116&rl=5,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 116: PROPERTY MANAGEMENT DIVISION,,SUBCHAPTER A: STATE OWNED PROPERTY,RULE §116.5: Tenant Manual,"Source Note: The provisions of this §116.5 adopted to be effective November 21, 1999, 24 TexReg 10040; amended to be effective May 12, 2010, 35 TexReg 3637"
1536,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=116&rl=6,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 116: PROPERTY MANAGEMENT DIVISION,,SUBCHAPTER A: STATE OWNED PROPERTY,RULE §116.6: Temporary Use of Property on the Commission's Inventory,"Source Note: The provisions of this §116.6 adopted to be effective November 21, 1999, 24 TexReg 10040; amended to be effective May 12, 2010, 35 TexReg 3637"
1537,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=116&rl=7,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 116: PROPERTY MANAGEMENT DIVISION,,SUBCHAPTER A: STATE OWNED PROPERTY,RULE §116.7: Applicability of National Fire Codes,"Source Note: The provisions of this §116.7 adopted to be effective November 21, 1999, 24 TexReg 10040; amended to be effective May 12, 2010, 35 TexReg 3637"
1538,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=116&rl=8,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 116: PROPERTY MANAGEMENT DIVISION,,SUBCHAPTER A: STATE OWNED PROPERTY,RULE §116.8: Parking,"Source Note: The provisions of this §116.8 adopted to be effective March 14, 2004, 29 TexReg 2619; amended to be effective May 12, 2010, 35 TexReg 3637"
1539,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=116&rl=12,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 116: PROPERTY MANAGEMENT DIVISION,,SUBCHAPTER A: STATE OWNED PROPERTY,RULE §116.12: Delegated Authority for Facilities Management,"Source Note: The provisions of this §116.12 adopted to be effective March 14, 2004, 29 TexReg 2619"
1540,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=116&rl=14,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 116: PROPERTY MANAGEMENT DIVISION,,SUBCHAPTER A: STATE OWNED PROPERTY,RULE §116.14: Vending Machines; Mandatory Energy-Savings Devices,"Source Note: The provisions of this §116.14 adopted to be effective January 7, 2009, 34 TexReg 41"
1541,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=117&rl=1,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 117: MANDATORY PAPER RECYCLING PROGRAM,,,RULE §117.1: Definitions,"Source Note: The provisions of this §117.1 adopted to be effective May 12, 2010, 35 TexReg 3638"
1542,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=117&rl=2,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 117: MANDATORY PAPER RECYCLING PROGRAM,,,RULE §117.2: Goals,"Source Note: The provisions of this §117.2 adopted to be effective May 12, 2010, 35 TexReg 3638"
1543,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=117&rl=3,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 117: MANDATORY PAPER RECYCLING PROGRAM,,,RULE §117.3: Designated Recycling Coordinator,"Source Note: The provisions of this §117.3 adopted to be effective May 12, 2010, 35 TexReg 3638"
1544,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=117&rl=4,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 117: MANDATORY PAPER RECYCLING PROGRAM,,,RULE §117.4: Performance Measures,"Source Note: The provisions of this §117.4 adopted to be effective May 12, 2010, 35 TexReg 3638"
1545,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=117&rl=5,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 117: MANDATORY PAPER RECYCLING PROGRAM,,,RULE §117.5: Paper Recycling Training,"Source Note: The provisions of this §117.5 adopted to be effective May 12, 2010, 35 TexReg 3638"
1546,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=117&rl=6,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 117: MANDATORY PAPER RECYCLING PROGRAM,,,RULE §117.6: Delegation of Responsibility,"Source Note: The provisions of this §117.6 adopted to be effective May 12, 2010, 35 TexReg 3638"
1547,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=117&rl=7,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 117: MANDATORY PAPER RECYCLING PROGRAM,,,RULE §117.7: Guidelines and Procedures for Collecting and Recycling of Paper through the Single Stream,"Source Note: The provisions of this §117.7 adopted to be effective May 12, 2010, 35 TexReg 3638"
1548,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=121&rl=1,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 121: COMPREHENSIVE PLANNING AND DEVELOPMENT PROCESS,,,RULE §121.1: Definitions,"Source Note: The provisions of this §121.1 adopted to be effective June 12, 2014, 39 TexReg 4419"
1549,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=121&rl=2,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 121: COMPREHENSIVE PLANNING AND DEVELOPMENT PROCESS,,,RULE §121.2: Commission Involvement Policy,"Source Note: The provisions of this §121.2 adopted to be effective June 12, 2014, 39 TexReg 4419"
1550,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=121&rl=3,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 121: COMPREHENSIVE PLANNING AND DEVELOPMENT PROCESS,,,RULE §121.3: Planning and Development for the Capitol Complex,"Source Note: The provisions of this §121.3 adopted to be effective June 12, 2014, 39 TexReg 4419"
1551,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=121&rl=4,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 121: COMPREHENSIVE PLANNING AND DEVELOPMENT PROCESS,,,RULE §121.4: Planning and Development for Other State Properties,"Source Note: The provisions of this §121.4 adopted to be effective June 12, 2014, 39 TexReg 4419"
1552,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=121&rl=5,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 121: COMPREHENSIVE PLANNING AND DEVELOPMENT PROCESS,,,RULE §121.5: Confidentiality,"Source Note: The provisions of this §121.5 adopted to be effective June 12, 2014, 39 TexReg 4419"
1553,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=122&rl=1,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 122: SPACE MANAGEMENT,,,RULE §122.1: Definitions,"Source Note: The provisions of this §122.1 adopted to be effective January 12, 2006, 31 TexReg 101; amended to be effective June 10, 2008, 33 TexReg 4501"
1554,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=122&rl=2,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 122: SPACE MANAGEMENT,,,"RULE §122.2: Requests for Allocation, Relinquishment, or Modification of Space in Facilities under the Commission's Control","Source Note: The provisions of this §122.2 adopted to be effective January 12, 2006, 31 TexReg 101; amended to be effective June 10, 2008, 33 TexReg 4501"
1555,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=122&rl=3,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 122: SPACE MANAGEMENT,,,RULE §122.3: Space Allocation,"Source Note: The provisions of this §122.3 adopted to be effective January 12, 2006, 31 TexReg 101; amended to be effective June 10, 2008, 33 TexReg 4501"
1556,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=123&rl=1,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 123: FACILITIES DESIGN AND CONSTRUCTION,,SUBCHAPTER A: GENERAL MATTERS,RULE §123.1: Definitions,"Source Note: The provisions of this §123.1 adopted to be effective March 18, 2002, 27 TexReg 2005; amended to be effective March 14, 2004, 29 TexReg 2622; amended to be effective November 15, 2011, 36 TexReg 7658"
1557,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=123&rl=2,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 123: FACILITIES DESIGN AND CONSTRUCTION,,SUBCHAPTER A: GENERAL MATTERS,RULE §123.2: Delegation of Authority,"Source Note: The provisions of this §123.2 adopted to be effective March 18, 2002, 27 TexReg 2005; amended to be effective November 15, 2011, 36 TexReg 7658"
1558,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=123&rl=12,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 123: FACILITIES DESIGN AND CONSTRUCTION,,SUBCHAPTER B: REAL PROPERTY ACQUISITION,"RULE §123.12: Land and Real Property Acquisition, Negotiated","Source Note: The provisions of this §123.12 adopted to be effective March 18, 2002, 27 TexReg 2005; amended to be effective November 15, 2011, 36 TexReg 7658"
1559,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=123&rl=13,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 123: FACILITIES DESIGN AND CONSTRUCTION,,SUBCHAPTER B: REAL PROPERTY ACQUISITION,"RULE §123.13: Land and Real Property Acquisition, Condemnation","Source Note: The provisions of this §123.13 adopted to be effective March 18, 2002, 27 TexReg 2005; amended to be effective November 15, 2011, 36 TexReg 7658"
1560,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=123&rl=23,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 123: FACILITIES DESIGN AND CONSTRUCTION,,SUBCHAPTER C: CONSTRUCTION PROJECT ADMINISTRATION,RULE §123.23: General Project Responsibility,"Source Note: The provisions of this §123.23 adopted to be effective March 18, 2002, 27 TexReg 2005; amended to be effective March 14, 2004, 29 TexReg 2623; amended to be effective November 15, 2011, 36 TexReg 7658; amended to be effective March 9, 2017, 42 TexReg 1011"
1561,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=123&rl=24,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 123: FACILITIES DESIGN AND CONSTRUCTION,,SUBCHAPTER C: CONSTRUCTION PROJECT ADMINISTRATION,RULE §123.24: Project Analysis Process,"Source Note: The provisions of this §123.24 adopted to be effective March 18, 2002, 27 TexReg 2005; amended to be effective March 14, 2004, 29 TexReg 2623; amended to be effective November 15, 2011, 36 TexReg 7658; amended to be effective March 9, 2017, 42 TexReg 1011"
1562,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=123&rl=25,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 123: FACILITIES DESIGN AND CONSTRUCTION,,SUBCHAPTER C: CONSTRUCTION PROJECT ADMINISTRATION,RULE §123.25: Construction Project Process,"Source Note: The provisions of this §123.25 adopted to be effective March 18, 2002, 27 TexReg 2005; amended to be effective March 14, 2004, 29 TexReg 2623; amended to be effective November 15, 2011, 36 TexReg 7658; amended to be effective March 9, 2017, 42 TexReg 1011"
1563,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=123&rl=26,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 123: FACILITIES DESIGN AND CONSTRUCTION,,SUBCHAPTER C: CONSTRUCTION PROJECT ADMINISTRATION,RULE §123.26: Exclusions from Commission Authority,"Source Note: The provisions of this §123.26 adopted to be effective March 18, 2002, 27 TexReg 2005; amended to be effective March 14, 2004, 29 TexReg 2623; amended to be effective November 15, 2011, 36 TexReg 7658"
1564,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=123&rl=27,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 123: FACILITIES DESIGN AND CONSTRUCTION,,SUBCHAPTER C: CONSTRUCTION PROJECT ADMINISTRATION,RULE §123.27: Selection of Design Professionals for Construction Projects,"Source Note: The provisions of this §123.27 adopted to be effective March 18, 2002, 27 TexReg 2005; amended to be effective March 14, 2004, 29 TexReg 2623; amended to be effective November 15, 2011, 36 TexReg 7658; amended to be effective March 9, 2017, 42 TexReg 1011"
1565,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=123&rl=28,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 123: FACILITIES DESIGN AND CONSTRUCTION,,SUBCHAPTER C: CONSTRUCTION PROJECT ADMINISTRATION,RULE §123.28: Contractor Qualifications,"Source Note: The provisions of this §123.28 adopted to be effective March 18, 2002, 27 TexReg 2005; amended to be effective March 14, 2004, 29 TexReg 2623; amended to be effective November 15, 2011, 36 TexReg 7658"
1566,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=123&rl=29,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 123: FACILITIES DESIGN AND CONSTRUCTION,,SUBCHAPTER C: CONSTRUCTION PROJECT ADMINISTRATION,RULE §123.29: Bidding Procedures,"Source Note: The provisions of this §123.29 adopted to be effective March 18, 2002, 27 TexReg 2005; amended to be effective November 15, 2011, 36 TexReg 7658; amended to be effective March 9, 2017, 42 TexReg 1011"
1567,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=123&rl=30,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 123: FACILITIES DESIGN AND CONSTRUCTION,,SUBCHAPTER C: CONSTRUCTION PROJECT ADMINISTRATION,RULE §123.30: Construction Contract Award,"Source Note: The provisions of this §123.30 adopted to be effective March 18, 2002, 27 TexReg 2005; amended to be effective November 15, 2011, 36 TexReg 7658; amended to be effective March 9, 2017, 42 TexReg 1011"
1568,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=123&rl=31,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 123: FACILITIES DESIGN AND CONSTRUCTION,,SUBCHAPTER C: CONSTRUCTION PROJECT ADMINISTRATION,RULE §123.31: Emergency Bidding and Award Procedures,"Source Note: The provisions of this §123.31 adopted to be effective March 18, 2002, 27 TexReg 2005; amended to be effective November 15, 2011, 36 TexReg 7658; amended to be effective March 9, 2017, 42 TexReg 1011"
1569,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=123&rl=32,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 123: FACILITIES DESIGN AND CONSTRUCTION,,SUBCHAPTER C: CONSTRUCTION PROJECT ADMINISTRATION,RULE §123.32: Construction Contract Administration,"Source Note: The provisions of this §123.32 adopted to be effective March 18, 2002, 27 TexReg 2005; amended to be effective November 15, 2011, 36 TexReg 7658"
1570,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=123&rl=33,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 123: FACILITIES DESIGN AND CONSTRUCTION,,SUBCHAPTER C: CONSTRUCTION PROJECT ADMINISTRATION,RULE §123.33: Small Contractor Participation Assistance Program,"Source Note: The provisions of this §123.33 adopted to be effective March 18, 2002, 27 TexReg 2005; amended to be effective November 15, 2011, 36 TexReg 7658"
1571,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=123&rl=34,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 123: FACILITIES DESIGN AND CONSTRUCTION,,SUBCHAPTER C: CONSTRUCTION PROJECT ADMINISTRATION,RULE §123.34: Xeriscaping,"Source Note: The provisions of this §123.34 adopted to be effective November 15, 2011, 36 TexReg 7658; amended to be effective March 9, 2017, 42 TexReg 1011"
1572,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=123&rl=43,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 123: FACILITIES DESIGN AND CONSTRUCTION,,SUBCHAPTER D: WAGE RATES,RULE §123.43: Wage Rate Surveys,"Source Note: The provisions of this §123.43 adopted to be effective March 18, 2002, 27 TexReg 2005; amended to be effective November 15, 2011, 36 TexReg 7658"
1573,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=5&ch=123&rl=44,TITLE 1: ADMINISTRATION,PART 5: TEXAS FACILITIES COMMISSION,CHAPTER 123: FACILITIES DESIGN AND CONSTRUCTION,,SUBCHAPTER D: WAGE RATES,RULE §123.44: Withholding of Penalties,"Source Note: The provisions of this §123.44 adopted to be effective March 18, 2002, 27 TexReg 2005; amended to be effective November 15, 2011, 36 TexReg 7658"
